================================================================================
SEASON 1 - RIDER POSITION REPORT
Each rider's current position in the seasonal standings
================================================================================

Total Riders in Season 1 Standings: 2207

--------------------------------------------------------------------------------------------------------------
Position  Rider Name                    Team                ARR   Events  Points  Type
1695th    Tane Faumuina                 Independent         1108  1       37      Bot
1696th    Edward James                  Formix              1121  1       37      Bot
1697th    Darrel Warren                 Independent         1167  1       37      Bot
1698th    Corrado Moretti               Kumori              1020  1       37      Bot
1699th    Astrid De Graaf               Independent         516   1       36      Bot
1700th    Ester Garcia                  Independent         502   1       36      Bot
1701st    Jorge Gutierrez               Zonkify             927   1       36      Bot
1702nd    Toby Hetherington             Newhall.cc          1125  1       36      Human
1703rd    Elvia Marquez                 True Form           308   1       36      Bot
1704th    Evi Sommer                    Independent         358   1       36      Bot
1705th    Benicio Torres                Independent         1261  1       36      Bot
1706th    Priscilla Mwansa              Nuvio               820   1       36      Bot
1707th    Bnaya Abramov                 Independent         607   1       36      Bot
1708th    Petra Pliskin                 Independent         998   1       36      Bot
1709th    Yujun Gwok                    Douvan              256   1       36      Bot
1710th    Dominique Bonnet              Aspire              493   1       36      Bot
1711th    Onni Kettunen                 Independent         1325  1       36      Bot
1712th    Charlotte Hermans             Dashix              594   1       36      Bot
1713th    Helena Calado                 Independent         692   1       36      Bot
1714th    Stanislav Myshchenko          Capital             477   1       36      Bot
1715th    Rune Van                      Meisterkuhl         787   1       36      Bot
1716th    Catalina Ruiz                 Capital             588   1       36      Bot
1717th    Esther Van Leeuwen            Dashix              383   1       36      Bot
1718th    Yutai Koong                   Independent         1062  1       36      Bot
1719th    Yolanda Martínez              Hector              476   1       36      Bot
1720th    Igor Jastrow                  AMO Solutions       1157  1       36      Bot
1721st    Emad Sharma                   Independent         998   1       36      Bot
1722nd    Astrid Holm                   Independent         316   1       36      Bot
1723rd    Roman Swanson                 Independent         1080  1       36      Bot
1724th    Slavko Janikovszky            Heat                1052  1       36      Bot
1725th    Rhonwen Rogers                Independent         793   1       36      Bot
1726th    Stig Jakobsen                 Nuvio               568   1       36      Bot
1727th    Jan Svensson                  Nuvio               946   1       36      Bot
1728th    Niilo Pulkkinen               True Form           1119  1       36      Bot
1729th    Martina Nagel                 Independent         599   1       36      Bot
1730th    Léa Roussel                   Aguda               970   1       36      Bot
1731st    Annie David                   AI Thunder          1031  1       36      Bot
1732nd    Toivo Ikonen                  Independent         1043  1       36      Bot
1733rd    Julio Orellana                Ampex               893   1       36      Bot
1734th    Cesar Arroyo                  Pioma               923   1       36      Bot
1735th    Desmond Pugh                  Meisterkuhl         816   1       36      Bot
1736th    Artem Kushnir                 Independent         638   1       36      Bot
1737th    Josef Jäger                   Fiber Shot          1227  2       36      Bot
1738th    Ivy Nolan                     Independent         468   1       35      Bot
1739th    Mavis Nelson                  Meisterkuhl         438   1       35      Bot
1740th    Inger Ødegård                 Independent         533   1       35      Bot
1741st    Marzia Orlando                Independent         617   1       35      Bot
1742nd    Kenzo Fujita                  Independent         904   1       35      Bot
1743rd    Jose Rodriguez                Independent         962   1       35      Bot
1744th    Osvaldo Wyatt                 Independent         1064  1       35      Bot
1745th    Dan Beaudoin                  Independent         1241  1       35      Bot
1746th    Petter Kristiansen            Independent         1265  1       35      Bot
1747th    Branko Pjanić                 Independent         1081  1       35      Bot
1748th    Given Banda                   Independent         1065  1       35      Bot
1749th    Inge De Bruin                 HCOM                279   1       35      Bot
1750th    Yuri Yuk                      Independent         230   1       35      Bot
1751st    Lily Rees                     Independent         419   1       35      Bot
1752nd    Rosario Collins               Independent         559   1       35      Bot
1753rd    Conny Gade                    Independent         689   1       35      Bot
1754th    Isaiah McMillan               Base                715   1       35      Bot
1755th    Jacqueline Colin              Independent         607   1       35      Bot
1756th    Mía Romero                    Nuvio               487   1       35      Bot
1757th    Leandro Simone                Independent         1030  1       35      Bot
1758th    Robert Van den Berg           Independent         1091  1       35      Bot
1759th    Kurt Lamprecht                Independent         100   1       35      Human
1760th    Dominique Barbier             Independent         269   1       35      Bot
1761st    Damien Fournier               Fujikai             1146  1       35      Bot
1762nd    Edward Plante                 Hinal               1104  1       35      Bot
1763rd    Dom Feitosa                   Independent         946   1       35      Bot
1764th    Nooa Saari                    Independent         1036  1       35      Bot
1765th    Ida Bergman                   Independent         289   1       35      Bot
1766th    Kobe Simon                    Hinal               1301  1       35      Bot
1767th    Van Montgomery                Independent         1372  1       35      Bot
1768th    Finn Cockburn                 Independent         643   1       35      Bot
1769th    Jan Sadowski                  Independent         1215  1       35      Bot
1770th    Anita De Vries                Fujikai             732   1       35      Bot
1771st    Alaia Rojas                   Independent         602   1       35      Bot
1772nd    Greg George                   Independent         719   1       35      Bot
1773rd    Alisa Halonen                 Zonkify             653   1       35      Bot
1774th    Mathéo Ferreira               Independent         636   1       35      Bot
1775th    Freddie Jenkins               Independent         723   1       35      Bot
1776th    Daishi Abe                    Independent         1333  1       35      Bot
1777th    Nikki Love                    Independent         360   1       35      Bot
1778th    Kenshin Hashimoto             Fable               1264  1       35      Bot
1779th    Jason Lowe                    YES                 1236  1       35      Bot
1780th    Clifton Wyatt                 Independent         1139  1       35      Bot
1781st    Gina Jordan                   Independent         368   1       35      Bot
1782nd    Germaine Faure                Systech             234   1       35      Bot
1783rd    Toto LeKoala                  Riders Givrés du T  1188  1       35      Human
1784th    Olen Lambert                  Independent         1003  1       35      Bot
1785th    Yaroslava Živulić             Fujikai             1005  1       35      Bot
1786th    Melati Tan                    Independent         1087  1       35      Bot
1787th    Cyril Flores                  Fiber Shot          1075  1       35      Bot
1788th    Greta Ventura                 Kumori              985   1       35      Bot
1789th    Chikako Ōno                   Independent         996   1       35      Bot
1790th    Aamir Abdul                   Independent         1203  1       35      Bot
1791st    Alejandra Varela              AI Thunder          748   1       35      Bot
1792nd    Attila Vajda                  Independent         631   1       35      Bot
1793rd    Alfredo Boyer                 Independent         904   1       35      Bot
1794th    Jamila Pillai                 Independent         932   1       35      Bot
1795th    Anderson Harewood             Sherpa              950   2       35      Bot
1796th    Mark Szűcs                    Nitro               851   1       34      Bot
1797th    Carter Salinas                Ampex               1073  1       34      Bot
1798th    Haruki Watanabe               AI Thunder          1285  1       34      Bot
1799th    Peer Lauritsen                Sherpa              1069  1       34      Bot
1800th    Hannah Sinclair               Independent         402   1       34      Bot
1801st    Susanna Woods                 Independent         693   1       34      Bot
1802nd    Osuke Yokoyama                Ampex               1105  1       34      Bot
1803rd    Raymonde Gauthier             Independent         260   1       34      Bot
1804th    Enchen Vong                   Monova              1127  1       34      Bot
1805th    Vivaan Sengupta               Independent         1016  1       34      Bot
1806th    Carlos Carmona                Independent         1378  1       34      Bot
1807th    Kristin Wilson                Independent         755   1       34      Bot
1808th    Naoko Iwasaki                 Independent         597   1       34      Bot
1809th    Alfredo Gutierrez             Independent         714   1       34      Bot
1810th    Kazimir Jursitzky             Independent         1304  1       34      Bot
1811th    Demeter Andreev               Patriot             1295  1       34      Bot
1812th    Aakar Poudel                  Independent         1224  1       34      Bot
1813th    Bas Van Dijk                  Orbit               1123  1       34      Bot
1814th    John Smith                    Independent         990   1       34      Bot
1815th    Manuel Hübner                 Independent         855   1       34      Bot
1816th    Darijo Slutsky                Delta               849   1       34      Bot
1817th    Andrey Dobrev                 Saint               1170  1       34      Bot
1818th    Willy Bertelsen               Independent         1111  1       34      Bot
1819th    Burian Tishchenko             Independent         887   1       34      Bot
1820th    Bunothyan San                 Aria Olefson        1114  1       34      Bot
1821st    George Pinder                 Independent         732   1       34      Bot
1822nd    Daniel Galindo                Independent         1018  1       34      Bot
1823rd    Alexander Janssens            Nuvio               864   1       34      Bot
1824th    Raul Espinoza                 Independent         875   1       34      Bot
1825th    Mohammed Amrani               Independent         974   1       34      Bot
1826th    Lili Morgan                   Independent         605   1       33      Bot
1827th    Anja Saarinen                 Independent         933   1       33      Bot
1828th    Alfredo Serrano               Pioma               1072  1       33      Bot
1829th    Thaddeus Gordon               Independent         1235  1       33      Bot
1830th    Monroe Farmer                 Independent         1105  1       33      Bot
1831st    Domingos Pereira              Independent         1262  1       33      Bot
1832nd    Sayuri Aoki                   Independent         723   1       33      Bot
1833rd    Rachelle St-Pierre            Independent         243   1       33      Bot
1834th    Burim Marku                   Independent         1153  1       33      Bot
1835th    Sharlene French               Systech             1017  1       33      Bot
1836th    Stan Richard                  Independent         1291  1       33      Bot
1837th    Emma Colin                    Independent         715   1       33      Bot
1838th    Peter Vermeulen               Aspire              1138  1       33      Bot
1839th    Freddie Hurst                 Independent         1057  1       33      Bot
1840th    Gerardo Alvarado              Base                1152  1       33      Bot
1841st    Wolfgang Schmitz              Independent         1032  1       33      Bot
1842nd    Elaine Walker                 Dashix              918   1       33      Bot
1843rd    Ada Whelan                    Base                890   1       33      Bot
1844th    Dusty Ayala                   Independent         873   1       33      Bot
1845th    Jietang Fung                  Systech             897   1       33      Bot
1846th    Benjamin Dudás                Independent         1105  1       33      Bot
1847th    Anthony Lewis                 Independent         1048  1       33      Bot
1848th    Sungmin Choe                  Windsail            973   1       33      Bot
1849th    Bas Vermeulen                 AMO Solutions       824   1       33      Bot
1850th    Eliyahu Awad                  Independent         775   1       33      Bot
1851st    Lasse Nicolaisen              Fiber Shot          944   1       33      Bot
1852nd    Fraser Kinnaird               Aspire              817   1       33      Bot
1853rd    Titas Giedraitis              Independent         895   1       33      Bot
1854th    Celina Hahn                   Independent         918   1       33      Bot
1855th    Jules Scholtes                Fable               780   1       33      Bot
1856th    Wangmo Rai                    Independent         796   1       33      Bot
1857th    Katrine Johannessen           Hinal               816   1       33      Bot
1858th    Hugo Valente                  Independent         736   1       33      Bot
1859th    Nooa Lindholm                 Independent         945   1       33      Bot
1860th    Eric Jansen                   Independent         743   1       33      Bot
1861st    Jamie Macrae                  Independent         696   1       33      Bot
1862nd    Betsan Price                  Aspire              904   1       33      Bot
1863rd    Milos Vishnevetsky            Independent         680   1       32      Bot
1864th    Sophia Beck                   Aguda               612   1       32      Bot
1865th    Anja Niemelä                  Independent         611   1       32      Bot
1866th    Stine Eskildsen               Independent         896   1       32      Bot
1867th    Bart Van der Heijden          Independent         841   1       32      Bot
1868th    Arthur Desmet                 Aguda               931   1       32      Bot
1869th    Nicolas Pires                 Independent         896   1       32      Bot
1870th    Paul Person                   AMO Solutions       868   1       32      Bot
1871st    Viktoria Eklund               Independent         750   1       32      Bot
1872nd    Bennett Farrell               Independent         753   1       32      Bot
1873rd    Borysko Popovich              Nitro               739   1       32      Bot
1874th    Germain Walsh                 Independent         742   1       32      Bot
1875th    Lewis Kinnaird                Independent         800   1       32      Bot
1876th    Luís Trindade                 Independent         766   1       32      Bot
1877th    Emma Schmid                   Independent         803   1       32      Bot
1878th    Sheena Harrigan               Independent         816   1       32      Bot
1879th    Kamilla Petersen              Fiber Shot          857   1       32      Bot
1880th    Kieth Moran                   Independent         566   1       32      Bot
1881st    Sven Lundqvist                Titans              696   1       32      Bot
1882nd    Jorge Caballero               Independent         691   1       32      Bot
1883rd    Lauren Sandoval               Ampex               738   1       32      Bot
1884th    Yeruo Fam                     Independent         705   1       32      Bot
1885th    Kushaan Malhotra              Independent         769   1       32      Bot
1886th    Rudra Deshpande               Independent         766   1       32      Bot
1887th    Fatoumata Coulibaly           Independent         889   1       32      Bot
1888th    Moshe Mizrahi                 Independent         853   1       32      Bot
1889th    Giuseppe Santoro              Independent         1171  1       31      Bot
1890th    William Roberts               Independent         1139  1       31      Bot
1891st    Evi Schubert                  Nitro               630   1       31      Bot
1892nd    Raymond Benoit                Independent         1089  1       31      Bot
1893rd    Marcel Lemaire                Independent         603   1       31      Bot
1894th    Connie Roy                    Independent         775   1       31      Bot
1895th    Chad Marshall                 Independent         790   1       31      Bot
1896th    Morris Tamba                  Independent         697   1       31      Bot
1897th    Sylvia Davis                  True Form           756   1       31      Bot
1898th    Julie Arnaud                  Hector              586   1       31      Bot
1899th    Antonia Fumagalli             Independent         658   1       31      Bot
1900th    Eva Johnsson                  Independent         637   1       31      Bot
1901st    Lynne Todd                    Independent         952   1       31      Bot
1902nd    Betty Hughes                  Independent         886   1       31      Bot
1903rd    Nathan Boeri                  Independent         1033  1       30      Bot
1904th    Peter Roth                    Windsail            678   1       30      Bot
1905th    Ulrik Andersson               eVOX                1152  1       30      Bot
1906th    Leo Larsen                    Saitama             1147  1       30      Bot
1907th    Carolina Wilkerson            Independent         537   1       30      Bot
1908th    Gloria Flowers                Independent         582   1       30      Bot
1909th    Carlos Augusto                Fujikai             872   1       30      Bot
1910th    Mikael Ikonen                 Independent         797   1       30      Bot
1911th    Nicolo D'Amico                Independent         829   1       30      Bot
1912th    Said Olimov                   Independent         811   1       30      Bot
1913th    Hélène Dubois                 Independent         780   1       30      Bot
1914th    Lauri Roy                     Independent         648   1       30      Bot
1915th    Marion Felix                  Titans              884   1       30      Bot
1916th    Jasper Burch                  Monova              677   1       30      Bot
1917th    Buford Winters                Fiber Shot          694   1       30      Bot
1918th    Rafael Tavares                Independent         782   1       30      Bot
1919th    Madeline Lester               Independent         876   1       30      Bot
1920th    Katherine Benitez             Independent         871   1       30      Bot
1921st    Dudley McCann                 Independent         495   1       30      Bot
1922nd    Nora Wolf                     Independent         802   1       30      Bot
1923rd    Carmen Melendez               eVOX                546   1       30      Bot
1924th    Azzurra Costantini            Delta               626   1       30      Bot
1925th    Raul Alvares                  Dashix              493   1       30      Bot
1926th    Petra Espinosa                Eckleson            665   1       30      Bot
1927th    Yumi Pyeong                   HCOM                810   1       30      Bot
1928th    Alana Sampaio                 Formix              872   1       30      Bot
1929th    Cristina Godinho              Independent         792   1       30      Bot
1930th    Risto Toivonen                Independent         1219  1       29      Bot
1931st    Fran Faulkner                 Independent         712   1       29      Bot
1932nd    Joseph Vrolijk                Independent         477   1       29      Bot
1933rd    Bol Garang                    Independent         803   1       29      Bot
1934th    Mario Moreno                  Delta               908   1       29      Bot
1935th    Luciano Cavallo               Nuvio               992   1       29      Bot
1936th    Rute Ramalho                  Independent         653   1       29      Bot
1937th    Thomas Stevens                Capital             849   1       29      Bot
1938th    Vicki Adkins                  Independent         783   1       29      Bot
1939th    Bogdana Moscovich             Independent         688   1       29      Bot
1940th    Nadia Pollard                 Independent         805   1       29      Bot
1941st    Annick Fontaine               Independent         586   1       29      Bot
1942nd    Gabriel Roche                 Saitama             501   1       29      Bot
1943rd    Jesus Benito                  Independent         488   1       29      Bot
1944th    Astrid Van Vliet              Saitama             698   1       29      Bot
1945th    Elisabeth Clement             Independent         693   1       28      Bot
1946th    Nargiza Abdullaeva            Nitro               651   1       28      Bot
1947th    Janko Romanski                Optech              514   1       28      Bot
1948th    Alfreda Green                 Eckleson            800   1       28      Bot
1949th    Kostiantyn Kostenko           Independent         775   1       28      Bot
1950th    Willie Berg                   Patriot             824   1       28      Bot
1951st    Raymundo Washington           Independent         809   1       28      Bot
1952nd    Tatsuki Maeda                 Aria Olefson        610   1       28      Bot
1953rd    Hifumi Murakami               Independent         669   1       28      Bot
1954th    Sheila Booker                 Independent         762   1       28      Bot
1955th    Erica Cavallo                 Independent         770   1       28      Bot
1956th    Nakato Ssempala               Pioma               717   1       28      Bot
1957th    Yvette Roussel                Independent         985   1       28      Bot
1958th    Silvia Guerrero               Independent         684   1       28      Bot
1959th    Dominique Marchand            AMO Solutions       551   1       28      Bot
1960th    Aurora Vainio                 Aria Olefson        534   1       28      Bot
1961st    Emilie Bertrand               Dashix              676   1       28      Bot
1962nd    Timmy Pruitt                  Independent         604   1       28      Bot
1963rd    Vuthy Moau                    Pioma               640   1       28      Bot
1964th    Matilda Sandström             Aria Olefson        807   1       28      Bot
1965th    Colette Valencia              Independent         841   1       28      Bot
1966th    Charlotte Lecomte             Aspire              728   1       28      Bot
1967th    Alejandro Guzman              Titans              856   1       27      Bot
1968th    Fredrik Sandström             Independent         630   1       27      Bot
1969th    Gael Cabral                   Independent         1246  1       27      Bot
1970th    Kemi Oladipo                  Independent         519   1       27      Bot
1971st    Anna Kiss                     Ampex               480   1       27      Bot
1972nd    Bom Da                        Kumori              759   1       27      Bot
1973rd    Milagros Sellers              Aria Olefson        849   1       27      Bot
1974th    Rocco Negri                   Independent         1024  1       27      Bot
1975th    Germain Dionne                AI Thunder          976   1       27      Bot
1976th    Riley Paterson                Nuvio               822   1       27      Bot
1977th    Aleksandra Savchenko          Independent         615   1       27      Bot
1978th    Virginie Lefevre              Independent         551   1       27      Bot
1979th    Susanne Lund                  Independent         748   1       27      Bot
1980th    Shrika Gupta                  Independent         771   1       27      Bot
1981st    Emma Valentini                Independent         771   1       27      Bot
1982nd    Camille Smets                 Dashix              805   1       27      Bot
1983rd    Mata Marsters                 Independent         598   1       27      Bot
1984th    Caroline Van Dijk             Meisterkuhl         637   1       27      Bot
1985th    Gloria Shannon                Independent         591   1       27      Bot
1986th    Angela Gallardo               Independent         528   1       27      Bot
1987th    Lilou Hansen                  Independent         613   1       27      Bot
1988th    Ria Schumann                  Independent         630   1       27      Bot
1989th    Michal Moskowitz              Independent         672   1       27      Bot
1990th    Shiman Choo                   Delta               717   1       27      Bot
1991st    Helga Hübner                  HCOM                659   1       27      Bot
1992nd    Noe Mcbride                   Independent         1227  1       26      Bot
1993rd    Akshara Ganguly               Independent         430   1       26      Bot
1994th    Andre Soares                  Heat                912   1       26      Bot
1995th    Lev Hrepka                    Independent         982   1       26      Bot
1996th    Olga Hester                   Independent         849   1       26      Bot
1997th    Laura Lara                    Independent         834   1       26      Bot
1998th    Robt Benn                     Heat                537   1       26      Bot
1999th    Zoé Thomas                    Hector              543   1       26      Bot
2000th    Chloé Collard                 Independent         791   1       26      Bot
2001st    Jerry Patrick                 Independent         635   1       26      Bot
2002nd    Ada Curtis                    Hinal               737   1       26      Bot
2003rd    Malebogo Phiri                Independent         708   1       26      Bot
2004th    Evan Perkins                  Sherpa              583   1       26      Bot
2005th    Robin Bryan                   AI Thunder          563   1       26      Bot
2006th    Beverley Jones                Independent         661   1       26      Bot
2007th    Kwan Dae                      Fujikai             642   1       26      Bot
2008th    Lucie Dumont                  Independent         719   1       26      Bot
2009th    Ty Portillo                   Independent         1060  1       25      Bot
2010th    Polina Kostenko               Independent         663   1       25      Bot
2011th    Rosalyn Roberson              Delta               409   1       25      Bot
2012th    Sahil Kulkarni                Formix              895   1       25      Bot
2013th    Ulpu Toivonen                 Windsail            831   1       25      Bot
2014th    Millie Baker                  Independent         806   1       25      Bot
2015th    Yuanling Ngiam                Patriot             910   1       25      Bot
2016th    Janne Laakso                  Independent         531   1       25      Bot
2017th    Bongcha Jong                  Systech             639   1       25      Bot
2018th    Ingrid Isaksen                Nuvio               578   1       25      Bot
2019th    Sondre Pedersen               Independent         774   1       25      Bot
2020th    Paz Sanchez                   Formix              739   1       25      Bot
2021st    Lizzie Valentine              Independent         660   1       25      Bot
2022nd    Phil Vance                    Independent         874   1       25      Bot
2023rd    Greta Kern                    Independent         696   1       25      Bot
2024th    Edith Paterson                Sherpa              592   1       25      Bot
2025th    Ilse Hendriks                 Base                513   1       25      Bot
2026th    Aaron Sutherland              Independent         477   1       25      Bot
2027th    Kirsty Melville               Independent         571   1       25      Bot
2028th    Linwood York                  Independent         473   1       25      Bot
2029th    Anita Huisman                 YES                 578   1       25      Bot
2030th    Ada Mazza                     Independent         749   1       25      Bot
2031st    Jade Gérard                   Delta               898   1       24      Bot
2032nd    Albert Krause                 Independent         485   1       24      Bot
2033rd    Wendy Herrera                 HCOM                629   1       24      Bot
2034th    Sophia Parry                  Independent         611   1       24      Bot
2035th    Chessa Kukharchuk             Optech              709   1       24      Bot
2036th    Nadia Lulić                   AI Thunder          572   1       24      Bot
2037th    Inge Hendriks                 Fiber Shot          481   1       24      Bot
2038th    Dae Bi                        Independent         478   1       24      Bot
2039th    Marie Renard                  Hinal               535   1       24      Bot
2040th    Aava Kemppainen               Independent         610   1       24      Bot
2041st    Charlotte Månsson             Eckleson            560   1       24      Bot
2042nd    Marie-France Zhang            Independent         562   1       24      Bot
2043rd    Xianquan Lai                  Independent         1006  1       23      Bot
2044th    Antonia Hartmann              Heat                620   1       23      Bot
2045th    Piero Luca                    Independent         1075  1       23      Bot
2046th    Giuliana Venturi              Independent         803   1       23      Bot
2047th    Conrad Snow                   Independent         811   1       23      Bot
2048th    Jacqueline Williams           Independent         813   1       23      Bot
2049th    Anthony Snyder                Independent         757   1       23      Bot
2050th    Nasser Salman                 True Form           492   1       23      Bot
2051st    Ian Parris                    Independent         434   1       23      Bot
2052nd    Kerstin Vogt                  Independent         627   1       23      Bot
2053rd    Rosemary Dabwido              Roklit              771   1       23      Bot
2054th    Arline Holloway               Fujikai             561   1       23      Bot
2055th    Yaroslava Levitsky            Independent         706   1       23      Bot
2056th    Jean-Pierre Brunet            Independent         871   1       23      Bot
2057th    Luann McKee                   Hinal               427   1       23      Bot
2058th    Mari Eide                     Independent         419   1       23      Bot
2059th    Moises Burnett                Independent         677   1       23      Bot
2060th    Marzhan Sadykova              Hinal               481   1       23      Bot
2061st    Keely Hamilton                Independent         100   1       23      Human
2062nd    Jacklyn Serrano               Independent         584   1       23      Bot
2063rd    Petra Vidić                   Independent         515   1       23      Bot
2064th    Ingrid Lundin                 Independent         819   1       22      Bot
2065th    Louise Roberts                Independent         424   1       22      Bot
2066th    Joyce Jacobs                  Pioma               514   1       22      Bot
2067th    Mia Dalton                    Sherpa              508   1       22      Bot
2068th    Mary Mutuku                   Independent         489   1       22      Bot
2069th    Ayame Sakamoto                Independent         456   1       22      Bot
2070th    Hanneke Verhoeven             Independent         771   1       22      Bot
2071st    Aastha Koirala                Fujikai             544   1       22      Bot
2072nd    Bernadette Martinez           Independent         513   1       22      Bot
2073rd    Deann Patrick                 Systech             388   1       22      Bot
2074th    Jeannine Bourgeois            Zonkify             369   1       22      Bot
2075th    Jerri Martinez                Independent         453   1       22      Bot
2076th    Eve Salinas                   Dashix              465   1       22      Bot
2077th    Saif Patel                    Formix              751   1       22      Bot
2078th    Gracie Singh                  Independent         534   1       22      Bot
2079th    Amelie Kern                   Independent         587   1       22      Bot
2080th    Aleksandra Stabiņš            Roklit              617   1       22      Bot
2081st    Peter Lafaele                 Independent         1072  1       21      Bot
2082nd    Cristina Messina              Nitro               502   1       21      Bot
2083rd    Antonio Martins               Nuvio               1088  1       21      Bot
2084th    Michael Deireragea            eVOX                808   1       21      Bot
2085th    Salvador Morales              Titans              860   1       21      Bot
2086th    Leone Bruno                   Independent         403   1       21      Bot
2087th    Rosa Groß                     Orbit               712   1       21      Bot
2088th    Connie Wilkinson              Independent         622   1       21      Bot
2089th    Irene Trevisan                Independent         653   1       21      Bot
2090th    Theresa Darville              Independent         515   1       21      Bot
2091st    Lorna Price                   Independent         528   1       21      Bot
2092nd    Noémie Arend                  Independent         318   1       21      Bot
2093rd    Flavia Esposito               Formix              605   1       21      Bot
2094th    Antonella Diaz                Independent         577   1       21      Bot
2095th    André Leclercq                Independent         566   2       21      Bot
2096th    Guy Mercier                   Independent         787   1       20      Bot
2097th    Marie Stein                   Independent         433   1       20      Bot
2098th    Jon Wakefield                 New Ways            1526  1       20      Human
2099th    Miglė Zubrickas               Systech             576   1       20      Bot
2100th    Simona Kirilova               Independent         502   1       20      Bot
2101st    Maria Tereshchenko            Independent         960   1       19      Bot
2102nd    Camille Andre                 Orbit               707   1       19      Bot
2103rd    Carlo Lawrence                Independent         1081  1       19      Bot
2104th    Anaïs Michel                  Base                1080  1       17      Bot
2105th    Amelia Cattaneo               Independent         522   1       17      Bot
2106th    Alan Cruz                     Roklit              921   1       17      Bot
2107th    Martha Boudreau               Independent         822   1       16      Bot
2108th    Lene Pettersen                Krowen              552   1       16      Bot
2109th    Alexa Medina                  Independent         1022  1       16      Bot
2110th    Thiago Rodriguez              Independent         1122  1       14      Bot
2111th    Sergio Mantovani              Independent         460   1       14      Bot
2112th    Lars Collard                  Kumori              1048  1       14      Bot
2113th    Angeles Romero                Saint               901   1       12      Bot
2114th    Travis Chen                   Kumori              401   1       12      Bot
2115th    Caterina Serra                Independent         1061  1       12      Bot
2116th    Itai Chided                   Formix              684   1       0       Bot
2117th    Georges Caron                 Independent         565   1       0       Bot
2118th    Maria Villar                  Independent         308   1       0       Bot
2119th    Molly Bishop                  Independent         573   1       0       Bot
2120th    Emmanuel Nshimiyimana         Independent         539   1       0       Bot
2121st    Beate Berg                    eVOX                353   1       0       Bot
2122nd    Marie Thomas                  Formix              543   1       0       Bot
2123rd    MasterMatej Matej             Independent         1425  1       0       Human
2124th    Rian Rustvold                 indieVelo Founders  1480  1       0       Human
2125th    Rob Dekker                    Roklit              515   1       0       Bot
2126th    Senne Vos                     Independent         338   1       0       Bot
2127th    Joshua Griffin                Independent         662   1       0       Bot
2128th    Winston Murray                Independent         764   1       0       Bot
2129th    Kira Sayko                    Independent         100   1       0       Human
2130th    Iina Nurmi                    Independent         126   1       0       Bot
2131st    Hanhua Fam                    Independent         495   1       0       Bot
2132nd    Bryon Esparza                 Independent         313   1       0       Bot
2133rd    Antone McGuire                Independent         749   1       0       Bot
2134th    Isla Watkins                  Independent         569   1       0       Bot
2135th    Rossana Riva                  Independent         462   1       0       Bot
2136th    Lori Jacobson                 Independent         569   1       0       Bot
2137th    Mabel Stone                   Independent         464   1       0       Bot
2138th    Eva Solberg                   Independent         434   1       0       Bot
2139th    Charlotte Thomas              Capital             167   1       0       Bot
2140th    Saskia De Jong                Independent         257   1       0       Bot
2141st    Julie Morin                   Fujikai             228   1       0       Bot
2142nd    Lerato Nkosi                  Patriot             280   1       0       Bot
2143rd    Maggie Cantrell               Base                267   1       0       Bot
2144th    Jeremy Marie                  Riders Givrés du T  1546  1       0       Human
2145th    Gavin Bailey                  Independent         100   1       0       Human
2146th    Wilford Schneider             Fable               411   1       0       Bot
2147th    Adele Kern                    Independent         402   1       0       Bot
2148th    Catherine Wallace             Independent         367   1       0       Bot
2149th    Remo Spinelli                 Independent         662   1       0       Bot
2150th    Sarah Zammit                  Hector              794   1       0       Bot
2151st    Carsten Andreasen             Independent         784   1       0       Bot
2152nd    Ilseong Mun                   Independent         813   1       0       Bot
2153rd    Allegra Gomez                 Capital             810   1       0       Bot
2154th    Bhavanya Raj                  Independent         825   1       0       Bot
2155th    Sophie Boucher                Independent         340   1       0       Bot
2156th    Matilda Quillin               Independent         400   1       0       Bot
2157th    Mária Xavier                  Pioma               380   1       0       Bot
2158th    Ina Sommer                    Titans              365   1       0       Bot
2159th    Whitney McCarthy              Independent         415   1       0       Bot
2160th    Sylvia De Brujin              True Form           367   1       0       Bot
2161st    Jovana Vemić                  Hinal               406   1       0       Bot
2162nd    Lucy Marks                    Independent         320   1       0       Bot
2163rd    Hannah Weir                   Independent         390   1       0       Bot
2164th    Cristina Mancini              Independent         391   1       0       Bot
2165th    Eric Verhoeven                Independent         404   1       0       Bot
2166th    Aergul Çoban                  Independent         396   1       0       Bot
2167th    Josefa Tawake                 Independent         344   1       0       Bot
2168th    Jennifer Schröder             Independent         558   1       0       Bot
2169th    Myrtle Lester                 Roklit              549   1       0       Bot
2170th    Heiran Ha                     Capital             571   1       0       Bot
2171st    Maksymilian Wysocki           Independent         657   1       0       Bot
2172nd    Trym Johannessen              AMO Solutions       693   1       0       Bot
2173rd    Chun Jo                       Independent         762   1       0       Bot
2174th    Chessa Koffka                 Independent         663   1       0       Bot
2175th    Salma Dlimi                   Independent         427   1       0       Bot
2176th    Neil Atherton                 Coalition           1298  1       0       Human
2177th    Samuel Shah                   Independent         982   1       0       Bot
2178th    Judy Poulin                   Independent         285   1       0       Bot
2179th    Hyeon Mun                     Capital             605   1       0       Bot
2180th    Saimi Järvinen                Fujikai             638   1       0       Bot
2181st    Lucia Martino                 Independent         500   1       0       Bot
2182nd    Hanan Al-Shehhi               Dashix              543   1       0       Bot
2183rd    Irma Moses                    Independent         877   1       0       Bot
